user_id,joinedDate,joinedCourses,skills,desired_skills,isVerified,engagement_level,peer_user_id
64,2022-11-30,"CSS, Node.js, AI, Machine Learning, HTML","HTML, CSS, Node.js","CSS, Python, SQL, Java, Machine Learning, AI, Blockchain, Data Science",True,High,347
65,2022-05-11,"SQL, Data Science","HTML, CSS, JavaScript, Excel, Python","CSS, SQL, Java, Machine Learning, Blockchain, Data Science",False,High,6551
66,2023-11-12,"AI, SQL, Machine Learning, Data Science, JavaScript","HTML, Java","Java, Blockchain",True,Low,544
67,2023-03-06,"Data Science, SQL, Excel","HTML, CSS, JavaScript, Data Science","Excel, Blockchain, Data Science",False,High,932
68,2022-06-27,"HTML, JavaScript, Python","HTML, CSS, Excel","Excel, Node.js, Blockchain, Data Science",True,Low,1679
69,2022-10-11,"Blockchain, Data Science, Java, AI","HTML, Node.js","Excel, Python, SQL, Machine Learning, AI, Blockchain, Data Science",False,High,6453
70,2023-07-28,"Machine Learning, AI, HTML","HTML, CSS, Excel, Java","CSS, Machine Learning, AI, Data Science",False,High,2585
71,2022-10-15,"Python, HTML, Data Science, SQL","CSS, Java","CSS, JavaScript, SQL, Node.js, Machine Learning, Blockchain, Data Science",False,Medium,6551
72,2022-02-05,"CSS, SQL","HTML, SQL, Node.js, Blockchain","Excel, Python, SQL, Java, Node.js, AI, Blockchain, Data Science",True,Medium,3602
73,2023-12-28,Machine Learning,"HTML, Excel, Node.js","Excel, Blockchain, Data Science",False,Low,932
74,2023-02-28,"Blockchain, Excel","CSS, JavaScript, SQL","Java, Machine Learning, Data Science",False,Low,1249
75,2023-07-30,"AI, Machine Learning, Blockchain","HTML, CSS, Excel","HTML, Excel, SQL, Java, Machine Learning, AI",False,High,7181
76,2022-11-01,"Node.js, CSS, Excel","HTML, CSS","HTML, JavaScript, SQL, Machine Learning, AI, Blockchain",True,Low,2530
77,2023-08-11,Machine Learning,"HTML, CSS, Excel, Python, Machine Learning, Blockchain","JavaScript, Excel, Node.js, AI, Data Science",False,Low,797
78,2023-01-29,"JavaScript, Java, Blockchain","HTML, Java","HTML, CSS, Node.js, AI, Data Science",False,Low,1779
79,2022-09-18,"JavaScript, AI, HTML, Blockchain, Node.js","HTML, Excel, Node.js","CSS, Excel, Java, Machine Learning, Data Science",True,Low,1609
80,2023-07-02,"Blockchain, SQL, CSS","HTML, JavaScript, Excel, Python, Node.js","HTML, JavaScript, Python, Machine Learning, Data Science",False,Low,2233
81,2022-03-21,"CSS, SQL, Data Science","HTML, Excel, SQL","CSS, JavaScript, SQL, Java, Node.js, AI",True,High,1640
82,2023-10-03,"Blockchain, Machine Learning, JavaScript",Excel,"HTML, SQL, AI, Blockchain",False,Medium,90
83,2023-05-13,"Java, Excel, CSS, AI, Python","HTML, Excel, SQL","HTML, JavaScript, Excel, Python, SQL, Java, Node.js, Machine Learning, AI, Blockchain, Data Science",True,High,3995
84,2022-02-26,"Java, Excel, CSS","HTML, Data Science","HTML, JavaScript, SQL, Machine Learning, Blockchain, Data Science",True,Low,3026
85,2022-07-03,JavaScript,"HTML, CSS, Excel, Python","HTML, JavaScript, Excel, Java, AI, Blockchain",False,High,926
86,2023-06-04,"Machine Learning, Java, CSS","Excel, SQL, Java","Excel, Python, SQL, Java, Machine Learning, Data Science",True,High,1048
87,2023-07-25,"Blockchain, SQL, Machine Learning","CSS, JavaScript","JavaScript, Excel, Python, SQL, Node.js, Machine Learning",False,High,664
88,2022-08-12,"Node.js, HTML, JavaScript","HTML, JavaScript, Excel, Python, Node.js","JavaScript, Data Science",False,Medium,1519
89,2023-01-23,"Data Science, SQL, JavaScript","HTML, CSS, Excel","HTML, JavaScript, Excel, Blockchain",True,Medium,396
90,2023-10-28,"HTML, CSS","HTML, SQL, AI, Blockchain","SQL, Java, Node.js, Machine Learning, AI, Blockchain",False,Low,7243
91,2023-09-01,"SQL, Java, Blockchain, JavaScript","HTML, CSS, Node.js","SQL, Java, Machine Learning, Blockchain",True,High,2061
92,2022-06-14,"Blockchain, JavaScript, Excel, CSS","CSS, JavaScript, Excel, Python, Java, Node.js","HTML, SQL, Java, AI, Data Science",True,Low,1037
93,2023-11-23,"Python, AI, SQL, JavaScript","HTML, JavaScript, Excel","CSS, Python, Machine Learning, AI, Blockchain, Data Science",False,Medium,4721
94,2022-07-20,"Data Science, HTML, Machine Learning","HTML, CSS, Excel, Java","Excel, Python, Machine Learning, AI, Blockchain, Data Science",True,High,961
95,2022-12-28,"Java, CSS, AI, Blockchain, Excel","CSS, Python, SQL","HTML, Machine Learning, Data Science",True,Low,2740
96,2023-12-26,"CSS, Data Science, HTML, Excel, Node.js","HTML, CSS, SQL","JavaScript, Python, Machine Learning, Blockchain",True,Low,4106
97,2023-04-21,"AI, CSS, Blockchain","HTML, Excel, AI, Data Science","Excel, Node.js, Machine Learning, AI, Blockchain",True,High,3108
98,2023-10-03,"Data Science, CSS, Node.js","Excel, Python, SQL","HTML, JavaScript, Python, Java, Blockchain",False,Low,2789
99,2022-05-27,"Blockchain, CSS, Data Science, HTML",HTML,"Java, Node.js, AI, Blockchain, Data Science",False,Medium,2582
100,2023-10-07,Excel,HTML,"SQL, Machine Learning, AI, Blockchain, Data Science",False,Low,340
101,2022-08-07,"Node.js, Excel, Java, HTML","CSS, JavaScript, Excel, Python","CSS, Excel, Python, Machine Learning, AI, Blockchain",False,Low,140
102,2023-09-09,HTML,"CSS, JavaScript, Python","JavaScript, Java, Blockchain",True,Low,2356
103,2023-04-06,"Python, Machine Learning, Java, Blockchain, Excel","JavaScript, Excel, SQL, Node.js, AI","Excel, Python, SQL, Java, AI",False,High,9714
104,2022-07-03,"Blockchain, CSS, Python, HTML","HTML, CSS, JavaScript","Python, SQL, Blockchain, Data Science",True,Medium,3236
105,2023-10-17,"Machine Learning, Excel, CSS","Excel, Node.js","Java, AI, Data Science",False,Low,324
106,2022-11-20,Excel,"HTML, JavaScript, Python","JavaScript, Excel, Python, Node.js, Machine Learning, AI, Blockchain, Data Science",False,High,1705
107,2022-05-24,"Machine Learning, Blockchain, Node.js","CSS, Excel, SQL, Java","CSS, Excel, Python, Java, Data Science",True,Low,9926
108,2023-12-11,"SQL, Machine Learning, Excel",Java,"CSS, JavaScript, Python, Java, Machine Learning, AI, Blockchain, Data Science",True,Medium,6038
109,2022-07-04,"Machine Learning, AI, Node.js, Excel","CSS, JavaScript, Excel, SQL","Java, AI, Blockchain",False,Low,3516
110,2023-09-29,"JavaScript, SQL, HTML","HTML, SQL, Java","HTML, SQL, Blockchain",False,High,2733
111,2022-03-21,"CSS, Python","HTML, AI","JavaScript, Python, SQL, Machine Learning, AI, Blockchain, Data Science",True,Medium,3995
112,2023-06-18,"Machine Learning, Excel, Java, JavaScript","HTML, Excel, SQL, Java","JavaScript, Python, SQL, AI",False,Low,3297
113,2023-05-02,"Machine Learning, Python, Data Science, CSS","HTML, Node.js","CSS, Excel, AI, Blockchain",True,Low,3037
114,2023-02-15,"SQL, Node.js, Machine Learning, HTML","HTML, SQL","Excel, Machine Learning, Data Science",True,Low,1066
115,2023-08-15,"Blockchain, Python, HTML, JavaScript","HTML, SQL, Node.js","JavaScript, Machine Learning, Blockchain, Data Science",True,Medium,1336
116,2022-11-08,"SQL, CSS, Excel, Machine Learning","HTML, Excel, Python, Java, Machine Learning","HTML, SQL, Java, Machine Learning, AI",False,Medium,7181
117,2023-08-18,"HTML, Machine Learning, SQL","CSS, JavaScript","Java, Machine Learning",False,Medium,722
118,2023-01-18,"Data Science, JavaScript","HTML, CSS, Excel","Excel, Machine Learning, Data Science",False,Medium,1066
119,2022-01-10,"Blockchain, Python, Java","Excel, Blockchain","Excel, Python, SQL, Java, Machine Learning, Blockchain",False,High,3278
120,2022-11-06,Data Science,"HTML, CSS, JavaScript","Node.js, AI, Blockchain",True,Low,3108
121,2022-12-07,"Machine Learning, CSS","CSS, Machine Learning","HTML, Python, Node.js, AI",False,Low,497
122,2023-05-15,"SQL, Python, HTML","HTML, CSS, Python","JavaScript, Java, Blockchain, Data Science",True,Low,357
123,2023-09-21,CSS,"HTML, CSS","JavaScript, Python, Java, Node.js, AI, Data Science",False,Low,5095
124,2022-08-23,"Python, Excel, CSS","Excel, Python, Java","HTML, Excel, Python, Java, Node.js, Data Science",False,High,3602
125,2022-02-17,"Machine Learning, Node.js, Java","CSS, JavaScript","JavaScript, Excel, Java, Node.js, Machine Learning, Blockchain, Data Science",True,High,4611
126,2022-04-24,"Data Science, Excel","HTML, CSS, JavaScript, SQL, Java, Node.js","CSS, JavaScript, Excel, SQL, Machine Learning",True,Medium,1915
127,2022-11-22,Node.js,"HTML, CSS, Java, Machine Learning","HTML, CSS, Python, SQL, AI",False,Low,1040
128,2023-06-11,"HTML, JavaScript, Blockchain","JavaScript, SQL, AI","CSS, JavaScript, Java, Node.js, Machine Learning, Blockchain",True,High,1054
129,2022-03-16,"Machine Learning, Excel, Node.js, Data Science","HTML, JavaScript, Node.js","HTML, Excel, Python, SQL, AI, Blockchain, Data Science",True,Medium,6007
130,2023-04-07,"CSS, Java, JavaScript","HTML, CSS, JavaScript, Machine Learning","Excel, SQL, Blockchain, Data Science",False,Low,893
131,2023-10-01,"Excel, JavaScript, AI, Python","JavaScript, Node.js","HTML, CSS, Java, AI, Blockchain",False,Medium,1039
132,2023-05-03,"CSS, JavaScript, Machine Learning","HTML, Excel, Java, Blockchain","HTML, JavaScript, AI",True,Medium,916
133,2023-11-11,Python,"CSS, Excel, SQL",Java,False,Low,108
134,2022-06-06,"Machine Learning, SQL, Excel","JavaScript, Excel","HTML, CSS, JavaScript, Python, SQL, Node.js, Machine Learning, AI, Blockchain, Data Science",True,High,3995
135,2023-08-25,CSS,"JavaScript, Excel, Python, Node.js","HTML, CSS, JavaScript, Java, Node.js, Machine Learning, Blockchain, Data Science",False,High,1054
136,2023-03-15,"Machine Learning, HTML, Java, Python","Excel, Java, Data Science","HTML, JavaScript, Python, Java, Machine Learning, Data Science",True,High,1815
137,2023-12-31,"HTML, Data Science, Node.js, Excel","HTML, CSS, Excel, Node.js","SQL, AI, Blockchain",True,Low,90
138,2023-10-25,"Node.js, SQL, Python, AI, Machine Learning","HTML, JavaScript, Excel, Python, SQL","Python, SQL, Node.js, Machine Learning, Blockchain, Data Science",False,High,1283
139,2023-04-01,Blockchain,"Excel, Python, SQL","Python, Java, Blockchain, Data Science",True,High,1113
140,2022-05-10,"Blockchain, CSS, JavaScript, Java, Machine Learning","CSS, Excel, Python, Machine Learning, AI","CSS, Python, Data Science",True,Low,1775
141,2023-07-02,"Blockchain, Python, Excel, JavaScript, Node.js","HTML, Node.js","Node.js, Machine Learning, AI, Blockchain",True,Medium,7621
142,2023-03-23,"JavaScript, SQL, HTML, Data Science, Node.js","HTML, JavaScript, Excel, Node.js, Blockchain","CSS, JavaScript, Python, Blockchain, Data Science",True,Medium,2565
143,2023-11-07,AI,"HTML, CSS, Excel, Node.js","Excel, AI",True,High,541
144,2022-05-17,HTML,"HTML, JavaScript, Excel, SQL, Java","Excel, SQL, Node.js, Blockchain, Data Science",False,Low,3234
145,2023-01-25,"JavaScript, Data Science, AI, Machine Learning","HTML, CSS, JavaScript, Excel","HTML, CSS, JavaScript, Java, AI, Blockchain",False,Medium,2522
146,2022-05-06,"Machine Learning, Node.js, AI",HTML,"CSS, JavaScript, Machine Learning, AI",True,High,5121
147,2022-05-31,"Blockchain, Data Science","JavaScript, Python, SQL, Java, Blockchain","SQL, Machine Learning, Blockchain, Data Science",True,High,340
148,2023-01-31,"Python, Node.js, HTML","HTML, CSS, SQL","HTML, SQL, Java, AI",False,Medium,1037
149,2022-06-22,"Blockchain, Excel, JavaScript","HTML, CSS, JavaScript, Java","HTML, Java, Blockchain, Data Science",True,High,357
150,2023-10-23,"AI, HTML, Data Science","JavaScript, Excel, Python, SQL, Machine Learning","SQL, Java, Blockchain, Data Science",True,Medium,1947
151,2023-10-08,"Machine Learning, Node.js, Blockchain","HTML, SQL, Java","CSS, AI",False,Low,20
152,2023-10-26,"Data Science, SQL, Machine Learning, Blockchain","CSS, Excel, Java","Python, Node.js, Machine Learning",False,Low,6998
153,2023-12-31,"JavaScript, Java, Data Science, HTML","HTML, SQL, Machine Learning","JavaScript, SQL, AI, Blockchain",False,Low,9519
154,2022-04-09,CSS,"HTML, CSS, JavaScript, Python, Node.js","HTML, CSS, Machine Learning, AI, Data Science",False,High,1044
155,2023-08-14,"AI, Java, CSS, Data Science, JavaScript","HTML, CSS","JavaScript, Python, Machine Learning, Blockchain",False,Low,4106
156,2022-05-29,"Java, Node.js","Excel, Java","Python, SQL, Java, Machine Learning, AI, Data Science",False,Medium,1048
157,2022-06-02,"Node.js, Data Science, CSS, Python, SQL",HTML,"SQL, Java, Data Science",False,Medium,1947
158,2023-02-27,Python,"HTML, CSS, JavaScript, SQL, Java, Node.js","CSS, Machine Learning, AI, Data Science",False,Low,2585
159,2023-07-28,"Java, SQL, Python, HTML","HTML, Excel, SQL, Data Science","Python, Java, Machine Learning",False,Medium,6722
160,2022-11-17,"JavaScript, Machine Learning, HTML","CSS, JavaScript, Python, Machine Learning, AI",AI,True,Low,212
161,2023-01-10,"CSS, AI, HTML, Node.js","CSS, Excel, Python, SQL, Java","Excel, Python, Java, Machine Learning, AI, Blockchain, Data Science",False,Low,1701
162,2023-11-30,"Python, CSS, Machine Learning","HTML, Excel","HTML, JavaScript, Python, Java, Machine Learning, AI, Blockchain, Data Science",True,High,6996
163,2023-08-10,"CSS, Blockchain, Python, Node.js, HTML","HTML, JavaScript, Python, Node.js","CSS, Machine Learning, AI, Blockchain",True,Medium,4513
164,2022-04-13,"CSS, Excel, Machine Learning, HTML","CSS, JavaScript, SQL","CSS, Data Science",False,Low,529
165,2023-05-25,"Excel, Data Science, Machine Learning, Python","HTML, Excel, Python, SQL","SQL, Node.js, Machine Learning, AI, Blockchain",False,Low,1288
166,2022-07-01,"JavaScript, Excel, Python","CSS, JavaScript, Excel, SQL","JavaScript, AI",True,Medium,565
167,2023-04-10,"Node.js, Python, AI","HTML, Excel, SQL, AI","HTML, Python, Machine Learning, AI, Data Science",True,High,961
168,2023-09-30,Java,"JavaScript, Excel, SQL, Node.js","HTML, Python, Java, Machine Learning, AI, Data Science",True,High,4464
169,2023-12-29,Node.js,"HTML, CSS, Excel, SQL, Java, Data Science","CSS, Python, Machine Learning, AI, Blockchain",True,Low,4721
170,2022-08-10,"Excel, CSS, Data Science, SQL","CSS, JavaScript, Excel","CSS, SQL, Java, Blockchain, Data Science",True,High,208
171,2023-01-06,"Excel, AI, Java, Machine Learning, HTML",CSS,"JavaScript, Excel, SQL, AI, Data Science",True,Medium,1552
172,2022-01-29,"Data Science, SQL, Python, CSS, Excel","HTML, CSS, Excel, Python, Java, Machine Learning, AI","CSS, SQL, Machine Learning, Blockchain",False,Medium,2967
173,2022-03-23,"Blockchain, HTML, Python","HTML, Python, SQL, Node.js, Data Science","Python, Machine Learning, AI, Blockchain, Data Science",True,High,6996
174,2023-02-08,"HTML, CSS, Java","CSS, JavaScript, Excel, SQL, Node.js","Node.js, Blockchain",False,Low,1787
175,2022-10-22,"AI, Python, HTML","HTML, JavaScript, Python, Java","Python, AI",True,High,986
176,2022-11-08,"AI, JavaScript, Blockchain, Python, Machine Learning","HTML, Excel, SQL, Blockchain",Python,False,Low,1360
177,2023-05-04,"AI, Python, HTML, CSS","HTML, CSS, Excel, SQL","CSS, Excel, Machine Learning, Blockchain, Data Science",True,Low,1066
178,2023-02-06,"Java, SQL, Python, AI","CSS, Python","HTML, CSS, Java, Node.js, Blockchain",True,Low,1177
179,2023-05-14,"Excel, Node.js, Python, CSS","HTML, CSS, Excel, SQL, Java","HTML, JavaScript, Python, Machine Learning",False,Low,349
180,2023-03-25,"AI, Excel, Java, HTML","HTML, CSS, JavaScript, Java","Excel, Python, SQL, Java, AI",True,High,9714
181,2022-12-24,"HTML, Machine Learning","HTML, JavaScript","HTML, JavaScript, Python, Java, AI, Blockchain, Data Science",True,Medium,6996
182,2023-08-31,"Machine Learning, AI, Node.js, SQL",Excel,"JavaScript, Excel, Python, Data Science",True,Low,533
183,2022-07-18,"Java, Machine Learning, Data Science, Node.js, Python","HTML, Excel, SQL, Java","HTML, CSS, JavaScript, Python, Blockchain, Data Science",True,Medium,1107
184,2022-01-30,"Excel, AI, Data Science, Node.js","Excel, Python, SQL","Python, AI, Blockchain, Data Science",False,Medium,6160
185,2023-09-30,"Blockchain, JavaScript, Data Science, Machine Learning","SQL, Machine Learning","Excel, SQL, Machine Learning, AI, Blockchain, Data Science",False,High,1066
186,2023-09-13,AI,"HTML, CSS, SQL, Node.js","HTML, JavaScript, Python, SQL, Blockchain, Data Science",True,Low,1712
187,2022-09-19,Data Science,"HTML, JavaScript, SQL, Machine Learning","Machine Learning, AI, Blockchain, Data Science",True,High,1066
188,2022-12-18,"Excel, Blockchain, JavaScript","HTML, Excel, Python, Data Science","HTML, JavaScript, SQL, Machine Learning, AI",True,Medium,2530
189,2022-02-24,"Machine Learning, Blockchain, CSS, Data Science","HTML, JavaScript, Excel, SQL, Java","Java, Node.js, Machine Learning, AI, Blockchain, Data Science",False,High,2582
190,2022-06-23,"Excel, Machine Learning","CSS, Excel, Java","HTML, JavaScript, Python, Java, Blockchain",True,Low,2789
191,2022-07-29,AI,"HTML, CSS, Python, Node.js, Machine Learning","Node.js, Blockchain",True,Low,1787
192,2023-09-24,"Blockchain, Machine Learning, AI, Python, Data Science","HTML, CSS, Excel, AI","Excel, SQL, Node.js, Machine Learning",False,Low,2661
193,2022-04-20,"AI, Excel",HTML,"HTML, JavaScript, Excel, Java, Machine Learning, AI",True,High,7098
194,2023-06-21,"Excel, Java, Machine Learning, Blockchain","CSS, Excel, Python","HTML, JavaScript, Node.js, Machine Learning, AI, Data Science",True,Low,8010
195,2022-03-26,"Blockchain, Python, Java, JavaScript, Node.js","HTML, JavaScript","JavaScript, Python, AI, Data Science",False,Medium,5170
196,2022-01-21,AI,CSS,"HTML, Excel, AI, Data Science",True,High,97
197,2022-12-14,"Java, Blockchain","HTML, Java","CSS, JavaScript, SQL, Java, Node.js, Blockchain",True,High,4738
198,2023-05-21,"Java, SQL, HTML, Python","HTML, Excel, SQL","Python, SQL, Machine Learning, AI",False,Medium,891
199,2022-09-24,"Node.js, HTML, Java","CSS, SQL","HTML, CSS, JavaScript, AI, Blockchain",True,Medium,966
200,2023-09-11,"JavaScript, AI, Node.js, Excel, Machine Learning","HTML, JavaScript, SQL, Data Science","HTML, Node.js, AI, Blockchain, Data Science",False,Medium,4871
201,2022-09-08,"SQL, Java, HTML, Node.js, Data Science",HTML,"HTML, CSS, Java, Blockchain, Data Science",True,High,6731
202,2022-11-27,"Excel, Python, Machine Learning, Blockchain, SQL","HTML, CSS, JavaScript, SQL","HTML, Python, SQL, AI, Blockchain, Data Science",True,High,4280
203,2023-03-03,"AI, Node.js, Blockchain, Machine Learning","HTML, Excel","JavaScript, Python, SQL, AI, Blockchain",True,Medium,9902
204,2023-08-21,Excel,Excel,"CSS, Excel, Python, SQL, Machine Learning, AI, Blockchain, Data Science",False,High,636
205,2022-07-15,"Machine Learning, Java, Python, Excel","HTML, JavaScript, Python","Machine Learning, AI, Data Science",True,Low,3723
206,2022-10-28,"AI, Python","HTML, JavaScript","HTML, JavaScript, AI, Blockchain",True,Medium,295
